Dataset Mode,Feature,Type,Unique Values,Missing Count,Most Common Value,Most Common Count,Most Common Percent,Rarest Category Count,Top Values,Value Counts CSV
gdsc_metadata_only,TARGET_PATHWAY,categorical,24,0,Unclassified,24979,10.320408205424837,955,"Unclassified: 24979 (10.3%); PI3K/MTOR signaling: 22724 (9.4%); Other: 21402 (8.8%); DNA replication: 17649 (7.3%); Other, kinases: 17277 (7.1%); ERK MAPK signaling: 13350 (5.5%); Genome integrity: 12221 (5.0%); Cell cycle: 11620 (4.8%)",docs/dataset_profile/categorical_value_counts/gdsc_metadata_only__target_pathway.csv
gdsc_metadata_plus_expression,TCGA_DESC,categorical,33,0,UNCLASSIFIED,45038,19.020148569835847,179,UNCLASSIFIED: 45038 (19.0%); LUAD: 15473 (6.5%); SCLC: 13032 (5.5%); BRCA: 12750 (5.4%); SKCM: 12277 (5.2%); COREAD: 12077 (5.1%); HNSC: 9358 (4.0%); ESCA: 9126 (3.9%),docs/dataset_profile/categorical_value_counts/gdsc_metadata_plus_expression__tcga_desc.csv
gdsc_metadata_plus_expression,GDSC Tissue descriptor 1,categorical,20,0,lung_NSCLC,26619,11.241559011955692,1746,lung_NSCLC: 26619 (11.2%); urogenital_system: 25163 (10.6%); leukemia: 20125 (8.5%); aero_dig_tract: 18583 (7.8%); lymphoma: 16210 (6.8%); lung_SCLC: 13212 (5.6%); breast: 13032 (5.5%); nervous_system: 12714 (5.4%),docs/dataset_profile/categorical_value_counts/gdsc_metadata_plus_expression__gdsc_tissue_descriptor_1.csv
gdsc_metadata_plus_expression,GDSC Tissue descriptor 2,categorical,55,0,lung_NSCLC_adenocarcinoma,15932,6.7282962612599295,178,lung_NSCLC_adenocarcinoma: 15932 (6.7%); lung_small_cell_carcinoma: 13212 (5.6%); breast: 13032 (5.5%); large_intestine: 12257 (5.2%); melanoma: 11917 (5.0%); glioma: 11642 (4.9%); ovary: 10070 (4.3%); head and neck: 9457 (4.0%),docs/dataset_profile/categorical_value_counts/gdsc_metadata_plus_expression__gdsc_tissue_descriptor_2.csv
gdsc_metadata_plus_expression,Cancer Type (matching TCGA label),categorical,32,0,Unknown,50155,21.18112597184859,279,Unknown: 50155 (21.2%); LUAD: 15303 (6.5%); SCLC: 13212 (5.6%); BRCA: 12750 (5.4%); COAD/READ: 12257 (5.2%); SKCM: 11917 (5.0%); HNSC: 9178 (3.9%); ESCA: 9126 (3.9%),docs/dataset_profile/categorical_value_counts/gdsc_metadata_plus_expression__cancer_type_matching_tcga_label.csv
gdsc_metadata_plus_expression,Microsatellite instability Status (MSI),categorical,3,0,MSS/MSI-L,209677,88.5493958807556,11713,MSS/MSI-L: 209677 (88.5%); MSI-H: 15401 (6.5%); Unknown: 11713 (4.9%),docs/dataset_profile/categorical_value_counts/gdsc_metadata_plus_expression__microsatellite_instability_status_msi.csv
gdsc_metadata_plus_expression,Screen Medium,categorical,3,0,R,126948,53.61183490926598,8906,R: 126948 (53.6%); D/F12: 100937 (42.6%); Unknown: 8906 (3.8%),docs/dataset_profile/categorical_value_counts/gdsc_metadata_plus_expression__screen_medium.csv
gdsc_metadata_plus_expression,Growth Properties,categorical,4,0,Adherent,165260,69.79150390006377,7065,Adherent: 165260 (69.8%); Suspension: 55560 (23.5%); Unknown: 8906 (3.8%); Semi-Adherent: 7065 (3.0%),docs/dataset_profile/categorical_value_counts/gdsc_metadata_plus_expression__growth_properties.csv
gdsc_metadata_plus_expression,CNA,categorical,3,0,Y,226867,95.80896233387249,1018,Y: 226867 (95.8%); Unknown: 8906 (3.8%); N: 1018 (0.4%),docs/dataset_profile/categorical_value_counts/gdsc_metadata_plus_expression__cna.csv
gdsc_metadata_plus_expression,Gene Expression,categorical,2,0,Y,227885,96.23887732219552,8906,Y: 227885 (96.2%); Unknown: 8906 (3.8%),docs/dataset_profile/categorical_value_counts/gdsc_metadata_plus_expression__gene_expression.csv
gdsc_metadata_plus_expression,Methylation,categorical,3,0,Y,222269,93.86716555950184,5616,Y: 222269 (93.9%); Unknown: 8906 (3.8%); N: 5616 (2.4%),docs/dataset_profile/categorical_value_counts/gdsc_metadata_plus_expression__methylation.csv
gdsc_metadata_plus_expression,TARGET,categorical,186,0,Unknown,27068,11.43117770523373,199,"Unknown: 27068 (11.4%); PARP1, PARP2: 4575 (1.9%); MEK1, MEK2: 4433 (1.9%); TOP1: 4236 (1.8%); EGFR: 3725 (1.6%); TNKS1, TNKS2: 3589 (1.5%); AKT1, AKT2, AKT3: 3247 (1.4%); DOT1L: 2789 (1.2%)",docs/dataset_profile/categorical_value_counts/gdsc_metadata_plus_expression__target.csv
gdsc_metadata_plus_expression,TARGET_PATHWAY,categorical,24,0,Unclassified,24899,10.515180053295945,927,"Unclassified: 24899 (10.5%); PI3K/MTOR signaling: 22148 (9.4%); Other: 21033 (8.9%); DNA replication: 17323 (7.3%); Other, kinases: 16879 (7.1%); ERK MAPK signaling: 13034 (5.5%); Genome integrity: 11861 (5.0%); Cell cycle: 11335 (4.8%)",docs/dataset_profile/categorical_value_counts/gdsc_metadata_plus_expression__target_pathway.csv
gdsc_auc_metadata_only,TCGA_DESC,categorical,32,1067,UNCLASSIFIED,45690,18.87743508170306,179,UNCLASSIFIED: 45690 (18.9%); LUAD: 15653 (6.5%); SCLC: 13570 (5.6%); BRCA: 13106 (5.4%); SKCM: 12637 (5.2%); COREAD: 12538 (5.2%); HNSC: 9358 (3.9%); ESCA: 9126 (3.8%),docs/dataset_profile/categorical_value_counts/gdsc_auc_metadata_only__tcga_desc.csv
gdsc_auc_metadata_only,GDSC Tissue descriptor 1,categorical,19,9366,lung_NSCLC,26977,11.145908649575475,1746,lung_NSCLC: 26977 (11.1%); urogenital_system: 25707 (10.6%); leukemia: 20484 (8.5%); aero_dig_tract: 18583 (7.7%); lymphoma: 16747 (6.9%); lung_SCLC: 13750 (5.7%); breast: 13388 (5.5%); nervous_system: 12894 (5.3%),docs/dataset_profile/categorical_value_counts/gdsc_auc_metadata_only__gdsc_tissue_descriptor_1.csv
