Dataset Mode,Feature,Value,Count,Percent
gdsc_metadata_only,TARGET,"SRC, ABL, TEC",949,0.39209205280228066
gdsc_metadata_only,TARGET,"BRD2, BRD3, BRD4, BRDT",949,0.39209205280228066
gdsc_metadata_only,TARGET,"FLT3, JAK2, NTRK1, NTRK2, NTRK3",947,0.3912657260313591
gdsc_metadata_only,TARGET,DNAPK,945,0.3904393992604375
gdsc_metadata_only,TARGET,"AURKA, AURKB",944,0.39002623587497676
gdsc_metadata_only,TARGET,"RAC1, RAC2, RAC3",943,0.389613072489516
gdsc_metadata_only,TARGET,"PLK1, PLK2, PLK3",923,0.38134980478030034
gdsc_metadata_only,TARGET,MTOR,922,0.38093664139483957
gdsc_metadata_only,TARGET,"HDAC1, HDAC3",898,0.3710207201437809
gdsc_metadata_only,TARGET,PI3Kgamma,894,0.3693680666019377
gdsc_metadata_only,TARGET,Pyrimidine synthesis inhibitor,894,0.3693680666019377
gdsc_metadata_only,TARGET,"Polybromo 1, SMARCA4, SMARCA2",894,0.3693680666019377
gdsc_metadata_only,TARGET,"BRPF1B, BRPF2",894,0.3693680666019377
gdsc_metadata_only,TARGET,TP53 activation,894,0.3693680666019377
gdsc_metadata_only,TARGET,KRAS (G12C),894,0.3693680666019377
gdsc_metadata_only,TARGET,"HDAC8, HDAC6, HDAC1",894,0.3693680666019377
gdsc_metadata_only,TARGET,MRE11,894,0.3693680666019377
gdsc_metadata_only,TARGET,"NUAK1, NUAK2",894,0.3693680666019377
gdsc_metadata_only,TARGET,IDH2 R140Q mutant,893,0.36895490321647695
gdsc_metadata_only,TARGET,"XIAP, IAP1, IAP2",893,0.36895490321647695
gdsc_metadata_only,TARGET,Inflammatory related,893,0.36895490321647695
gdsc_metadata_only,TARGET,"JAK2, JAK3",892,0.3685417398310162
gdsc_metadata_only,TARGET,"IKK-1, IKK-2",892,0.3685417398310162
gdsc_metadata_only,TARGET,TGFB1,892,0.3685417398310162
gdsc_metadata_only,TARGET,"BCL2,  BCL-XL,  BFL1, MCL1",892,0.3685417398310162
gdsc_metadata_only,TARGET,"CDK1, CDK2, CDK5, CDK9",891,0.3681285764455554
gdsc_metadata_only,TARGET,"USP1, UAF1",891,0.3681285764455554
gdsc_metadata_only,TARGET,BTK,890,0.3677154130600946
gdsc_metadata_only,TARGET,PERK,886,0.3660627595182515
gdsc_metadata_only,TARGET,"XIAP, cIAP",881,0.3639969425909476
gdsc_metadata_only,TARGET,"BCL2, BCL-XL, BCL-W, MCL1",785,0.32433325758671266
gdsc_metadata_only,TARGET,DNA crosslinker,760,0.31400417295019317
gdsc_metadata_only,TARGET,MRCKB_HUMAN,743,0.3069803953973599
gdsc_metadata_only,TARGET,"EHMT1, EHMT2",741,0.3061540686264383
gdsc_metadata_only,TARGET,"KDM4A, KDM4C, KDM4E, KDM3A, KDM6B",741,0.3061540686264383
gdsc_metadata_only,TARGET,SETD8,741,0.3061540686264383
gdsc_metadata_only,TARGET,EP300,741,0.3061540686264383
gdsc_metadata_only,TARGET,SIR2,740,0.3057409052409775
gdsc_metadata_only,TARGET,DNA methyltransferases,740,0.3057409052409775
gdsc_metadata_only,TARGET,LSD1,739,0.30532774185551675
gdsc_metadata_only,TARGET,"G9A, GLP",732,0.3024355981572913
gdsc_metadata_only,TARGET,WIP1,731,0.30202243477183055
gdsc_metadata_only,TARGET,GADD34,717,0.29623814737537957
gdsc_metadata_only,TARGET,CDK2,717,0.29623814737537957
gdsc_metadata_only,TARGET,"ADRA1A, ADRB1",717,0.29623814737537957
gdsc_metadata_only,TARGET,IRAK4,717,0.29623814737537957
gdsc_metadata_only,TARGET,JAK1,717,0.29623814737537957
gdsc_metadata_only,TARGET,"NTRK1, NTRK2, NTRK3",717,0.29623814737537957
gdsc_metadata_only,TARGET,"mTORC1, mTORC2",717,0.29623814737537957
gdsc_metadata_only,TARGET,PPP1R15B,717,0.29623814737537957
gdsc_metadata_only,TARGET, ,717,0.29623814737537957
gdsc_metadata_only,TARGET,TOP2,717,0.29623814737537957
gdsc_metadata_only,TARGET,NIK,717,0.29623814737537957
